"conversation_id_str,""created_at"",""favorite_count"",""full_text"",""id_str"",""image_url"",""in_reply_to_screen_name"",""lang"",""location"",""quote_count"",""reply_count"",""retweet_count"",""tweet_url"",""user_id_str"",""username"""
"1785274102124786159,""Tue Apr 30 23:53:08 +0000 2024"",""2"",""@kim_medap Dikira kita bodoh kali ya kita ini kan mantan badut level detectiv conan."",""1785457390705684879"","""",""kim_medap"",""in"",""Jakarta Barat, DKI Jakarta"",""0"",""0"",""0"",""https://x.com/Sweetoflife89/status/1785457390705684879"",""1584433121218289664"",""Sweetoflife89"""
"1785327308510994508,""Tue Apr 30 23:52:30 +0000 2024"",""1"",""@SinarOnline Dah Takdir nya Dapat Pemimpin Pn Bangang Abadi. Sekian. Kahakhakahakah. Bodoh Piang."",""1785457230709702753"","""",""KLHC88"",""in"",""carrucan plantation "",""0"",""0"",""0"",""https://x.com/KLHC88/status/1785457230709702753"",""1696213595112226816"",""KLHC88"""
"1785457147859599437,""Tue Apr 30 23:52:10 +0000 2024"",""0"",""Manusia bodoh apa yg pake toner exfo tp ga lanjut pake moisturizer karna ketiduran"",""1785457147859599437"","""","""",""in"","""",""0"",""1"",""0"",""https://x.com/sithamonroll_/status/1785457147859599437"",""1469527416"",""sithamonroll_"""
"1785222561221300328,""Tue Apr 30 23:51:27 +0000 2024"",""0"",""@sbmptnfess orang bodoh bisa kirim menfesss kah???"",""1785456966015545416"","""",""sbmptnfess"",""in"","""",""0"",""0"",""0"",""https://x.com/jjnud_/status/1785456966015545416"",""1566392239303307268"",""jjnud_"""
"1784904704579039386,""Tue Apr 30 23:50:48 +0000 2024"",""0"",""@bharianmy Idea bodoh. Suatu pulau sepatutnya memelihara keindahan semulajadinya sbg tarikan pelancong bukan tukar pulau utk menjadi bandar kosmopolitan"",""1785456802400031001"","""",""bharianmy"",""in"",""Kuala Lumpur City, Kuala Lumpur Federal Territory"",""0"",""0"",""0"",""https://x.com/AdamAhBoo/status/1785456802400031001"",""994601354348843011"",""AdamAhBoo"""
"1785456580361593290,""Tue Apr 30 23:49:55 +0000 2024"",""0"",""Bodoh la onexox ni"",""1785456580361593290"","""","""",""in"",""Kuantan, Pahang"",""0"",""0"",""0"",""https://x.com/Asy_Barbarian/status/1785456580361593290"",""862636901693566976"",""Asy_Barbarian"""
"1785133881278320710,""Tue Apr 30 23:49:48 +0000 2024"",""0"",""@kdrama_menfess 6/10 karna alurnya bukan tipeku cowonya keterlaluan bucin super bodoh kalo kata aku wkwk Tapi kalo kamu suka alur yg seperti itu nonton aja"",""1785456551039566303"","""",""kdrama_menfess"",""in"",""In My Room"",""0"",""0"",""0"",""https://x.com/lalawslh/status/1785456551039566303"",""1203137522299072512"",""lalawslh"""
"1785169765436469463,""Tue Apr 30 23:49:46 +0000 2024"",""0"",""@KSuwardy perjuangan untuk apa? perjuangan tak ada hala tuju. hari hari kerja menfitnah je tu kau panggil perjuangan? bodoh "",""1785456540964770201"","""",""KSuwardy"",""in"","""",""0"",""0"",""0"",""https://x.com/binjitt/status/1785456540964770201"",""893885947149824000"",""binjitt"""
"1785338765403361518,""Tue Apr 30 23:49:39 +0000 2024"",""1"",""@MalaysiaGazette Itu bukan sebab ko la jemin hanat bahalol itu sebab kerjasama baik dlm kerajaan Pakatan Harapan yg memerintah Selangorlah bodoh. Sudah2lah asyik nak memperbodohkan pengundi KKB. Ko punya sifat PENGKHIANAT tu la yg aku akan ingat sampai bila2 syaaaaitaaaan..hahaha. Kita undi PHBN"",""1785456514809110990"","""",""MalaysiaGazette"",""in"","""",""0"",""0"",""0"",""https://x.com/HajiIsahma88380/status/1785456514809110990"",""1770653958455046144"",""HajiIsahma88380"""
"1785171026806182387,""Tue Apr 30 23:49:26 +0000 2024"",""3"",""@mstaronline Ala kak kau pun nak join this circus apesal? Sebab haritu nak cover balik kecaman pasal scene bodoh dalam drama latest ke?"",""1785456459259736314"","""",""mstaronline"",""in"",""Mexico City"",""0"",""0"",""0"",""https://x.com/cili_hijau/status/1785456459259736314"",""1001071714787213312"",""cili_hijau"""
